ENTIDAD,MUNICIPIO,POBTOT,POB_AFRO,POB_AFRO_F,POB_AFRO_M
2,2,21359,126,63,63
2,2,1278,1,1,0
2,2,1196,1,0,1
2,2,1055,9,3,6
2,2,838,7,4,3
2,2,1442,15,6,9
2,2,595,2,1,1
2,2,661,11,3,8
2,2,1447,16,12,4
2,2,894,14,9,5
2,2,665,2,1,1
2,2,1589,14,8,6
2,2,712,17,9,8
2,2,1214,6,5,1
2,2,796,3,3,0
2,2,630,10,4,6
2,2,1780,20,15,5
2,2,967,11,4,7
2,2,781,5,4,1
2,2,714,2,0,2
2,2,1785,26,16,10
2,2,726,20,10,10
2,2,729,4,4,0
2,2,763,6,0,6
2,2,1382,11,2,9
2,2,1323,22,11,11
2,2,791,5,2,3
2,2,1684,11,7,4
2,2,1067,4,4,0
2,2,951,2,1,1
2,2,1304,29,15,14
2,2,698,4,0,4
2,2,937,5,1,4
2,2,1199,17,8,9
2,2,1391,12,3,9
2,2,1067,2,1,1
2,2,1270,7,3,4
2,2,1266,2,1,1
2,2,1192,4,1,3
2,2,574,3,2,1
2,2,1217,10,5,5
2,2,1582,3,1,2
2,2,1067,16,9,7
2,2,1229,28,13,15
2,2,1423,15,5,10
2,2,1218,5,3,2
2,2,15683,117,54,63
2,2,1162,16,4,12
2,2,1294,11,4,7
2,2,831,5,3,2
2,2,1640,66,31,35
2,2,1258,18,8,10
2,2,1160,4,2,2
2,2,675,2,1,1
2,2,839,7,2,5
2,2,821,2,1,1
2,2,1226,15,6,9
2,2,3275,32,15,17
2,2,2380,16,4,12
2,2,1019,18,10,8
2,2,711,1,0,1
2,2,1728,11,7,4
2,2,543,1,0,1
2,2,951,0,0,0
2,2,586,1,0,1
2,2,1836,14,6,8
2,2,866,8,1,7
2,2,1056,2,1,1
2,2,982,7,4,3
